company_searched,gtr_org_name,gtr_org_id,role,project_title,project_id,funder,grant_category,status,grant_value,lead_org,start_date,end_date,abstract
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,A Wide-Area System for Power Transmission Security Enhancement Using a Process Systems Approach,58C7AD1D-9767-4795-90FF-DFC7830DD29B,EPSRC,Research Grant,Closed,99293,Imperial College London,2007-07-15,2010-07-14,"Following a series of serious power blackout incidents in 2003, policy makers in the European Union and the USA have highlighted (i) the need for improved a.c. transmission grid infrastructure and advanced control technologies to enhance stability and security in an increasingly complex operating environment, and (ii) the importance of emerging measurement-based technology towards achieving such enhanced operation. The concept of this proposal is a system for transmission security assessment usi"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,AUTONOM: Integrated through-life support for high-value systems,89C825F3-FF35-41D7-B0E4-F931756103FF,EPSRC,Research Grant,Closed,929053,CRANFIELD UNIVERSITY,2013-03-05,2017-03-04,"Summary - This proposal extends research in novel sensing, e-maintenance systems, and decision-making strategies. It is supported by the EPSRC National Centre for Innovative Manufacturing in Through-life Engineering Services. Maintenance of widely-dispersed assets is expensive because it involves widespread inspection, checking and measurement. The integration of sensor-based information in geographically dispersed and less structured environments poses challenges in technology and cost justific"
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Fast solvers for frequency domain wave-scattering problems and applications,1B7BDCDC-3BD0-4B65-97B0-F1EE0B1677FF,EPSRC,Research Grant,Closed,341791,University of Strathclyde,2019-01-01,2022-12-31,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details."
ABB Group,ABB GROUP,B9FF4A80-56C4-4952-BCF1-9CA8A2BE7DF1,Collaborator,Design-for-manufacture of 3D concrete printed structural composites (DfM:3DCP),C7899E78-A035-4FFE-ADBF-F2C8B114F5F4,EPSRC,Research Grant,Closed,879327,Loughborough University,2019-09-30,2023-09-29,"The development and modernisation of UK infrastructure requires the ubiquitous use of concrete, but conventional casting methods are inefficient, inflexible and dangerous. The UK Industrial Strategy White Paper identifies that the UK has insufficient skilled labour to undertake the next 10 to 20 years of essential infrastructure development, to deliver the &pound;600Bn National Infrastructure and Construction Pipeline. Hence, the development of world-leadership in automation of key parts of the "
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,WAMS based self-tuning FACTS controllers for improved utilisation of existing power transmission assets,2AAA783E-0981-4EF1-AD16-192F33F1ABBF,EPSRC,Research Grant,Closed,256652,Imperial College London,2008-07-02,2011-07-01,"With increasing opposition to building new transmission lines, transfer of bulk energy is going to be a major challenge in the UK and in many parts of Europe. Examples include the transmission link from the north of the UK to the load centres in the south and the corridor importing hydro power from north of Norway to the load centres near Oslo. It is therefore, absolutely critical that the existing power transmission assets are fully utilised by loading them much closer to their capacity. To ens"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,UK Robotics and Artificial Intelligence Hub for Offshore Energy Asset Integrity Management,6AE9C598-E91F-4B12-8CD7-275979310530,ISCF,Research Grant,Closed,15223234,Heriot-Watt University,2017-10-01,2022-03-30,"The international offshore energy industry currently faces the triple challenges of an oil price expected to remain less than $50 a barrel, significant expensive decommissioning commitments of old infrastructure (especially North Sea) and small margins on the traded commodity price per KWh of offshore renewable energy. Further, the offshore workforce is ageing as new generations of suitable graduates prefer not to work in hazardous places offshore. Operators therefore seek more cost effective, s"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,Vehicle Electrical Systems Integration (VESI),4F4608DB-4CE2-4E78-B41C-290A019018A7,UKRI,Research Grant,Closed,3154532,University of Warwick,2011-09-30,2016-03-30,"The urgent need for EV technology is clear. Consequently, this project is concerned with two key issues, namely the cost and power density of the electrical drive system, both of which are key barriers to bringing EVs to the mass market. To address these issues a great deal of underpinning basic research needs to be carried out. Here, we have analysed and divided the problem into 6 key themes and propose to build a number of demonstrators to showcase the advances made in the underlying science a"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,Science of Sensor System Software,CD6A8D7C-CE04-4411-95BC-13CA62D2F9C7,EPSRC,Research Grant,Closed,4183694,University of Glasgow,2016-01-01,2022-12-31,"Sensors are everywhere, facilitating real-time decision making and actuation, and informing policy choices. But extracting information from sensor data is far from straightforward: sensors are noisy, prone to decalibrate, and may be misplaced, moved, compromised, and generally degraded over time. We understand very little about the issues of programming in the face of pervasive uncertainty, yet sensor-driven systems essentially present the designer with uncertainty that cannot be engineered away"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,Digital Circular Electrochemical Economy (DCEE),E48AD4DF-E9C4-4CFF-970A-1CD0F20051F6,EPSRC,Research Grant,Closed,964620,Imperial College London,2021-08-31,2025-02-28,"This project focuses on a radical change to chemical manufacturing with a view to effective step changes in environmental sustainability and in circularity of materials. We shall focus on the emerging electrochemical sector which is expected to grow strongly and within which there are many opportunities for the deployment of digital technologies to underpin system design and operation.

In response to this call, we have united a cross-disciplinary team of leading researchers from three UK univer"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,Automatic Control Engineering (ACE) Network,C372DD9B-CABA-41A5-A786-4E339CE44ED8,EPSRC,Research Grant,Active,568024,Newcastle University,2024-01-01,2026-12-31,"We are increasingly dependent on complex &quot;smart&quot; systems: cities, houses, vehicles, electricity grids and a myriad of connected 'things' gathering information and performing automated decision-making with or without a human in the loop. This is in part possible because of technological advances in sensing, actuation, computer hardware, networking and communication, which enable the harnessing, processing and analysis of vast volumes of data. Major advances in Automatic Control Engineer"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,Creation of a process understanding of chromatographic performance loss during biotherapeutic manufacture: A UK-India partnership,515C87A0-B2CB-4214-83FF-728C2C2F9079,EPSRC,Research Grant,Closed,471577,UNIVERSITY COLLEGE LONDON,2014-02-17,2017-08-15,"The importance of international collaborations in research is recognised both by individual researchers and by institutions and government, with studies showing that the average impact of publications resulting from these collaborations is significantly higher than that of papers with national co-authorship. This collaborative project between leading academic groups in the UK and India addresses the purification operations used to manufacture biopharmaceuticals e.g. antibodies and hormones such "
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,EPSRC Centre for Doctoral Training in Autonomous Intelligent Machines and Systems (AIMS),2199885B-DEF5-4431-9652-D40E962DD099,EPSRC,Training Grant,Closed,4597031,,2014-03-31,2023-09-29,"In the next decade our economy and society will be revolutionised by ubiquitous Autonomous, Intelligent Machines and Systems, which can learn, adapt, take decisions and act independently of human control. They will work for us and beside us, assist us, and interact and communicate with us. The UK has the opportunity to become a world-leader in developing these technologies for sectors as diverse as energy, transport, environment, manufacturing and aerospace. This CDT directly addresses the prese"
ABB Group,ABB Group (International),DF473C77-E48C-4F98-9534-4BC93A089781,Project Partner,"EVOLVABLE ASSEMBLY SYSTEMS - TOWARDS OPEN, ADAPTABLE AND CONTEXT-AWARE EQUIPMENT AND SYSTEMS",98810C3F-D417-49B6-8879-FB0CA3B1E0F4,EPSRC,Research Grant,Closed,2151283,University of Nottingham,2013-02-01,2019-01-31,"Assembly of final products in sectors such as automotive, aerospace, pharmaceutical and medical industries is a key production process in high labour cost areas such as the UK. To respond to the current challenges manufacturers need to transform current capital-intensive assembly lines into smart systems that can react to external and internal changes and can self-heal, self-adapt and reconfigure. This need is dictated by: (1) demand for rapid ramp-up and downscale of production systems; (2) the"
ABB Group,ABB Group (International),480DF597-1B6B-40AA-A872-7367C7CAC8C1,Project Partner,DAASE: Dynamic Adaptive Automated Software Engineering,723C51C5-938B-4DA3-B707-313DFC4E5E0A,EPSRC,Research Grant,Closed,6834903,UNIVERSITY COLLEGE LONDON,2012-05-31,2019-05-30,"Current software development processes are expensive, laborious and error prone. They achieve adaptivity at only a glacial pace, largely through enormous human effort, forcing highly skilled engineers to waste significant time adapting many tedious implementation details. Often, the resulting software is equally inflexible, forcing users to also rely on their innate human adaptivity to find &quot;workarounds&quot;. As the letters of support from the DAASE industrial partners demonstrate, this cr"
ABB Group,ABB Group (International),CB3EFB0B-DD02-4F49-B020-BBD4B05BADCE,Project Partner,EPSRC Centre for Doctoral Training in High Performance Embedded and Distributed Systems,0CD8CC09-0153-4E33-AB84-B853E3314C82,EPSRC,Training Grant,Closed,4099015,Imperial College London,2014-03-31,2024-03-31,"High Performance Embedded and Distributed Systems (HiPEDS), ranging from implantable smart sensors to secure cloud service providers, offer exciting benefits to society and great opportunities for wealth creation. Although currently UK is the world leader for many technologies underpinning such systems, there is a major threat which comes from the need not only to develop good solutions for sharply focused problems, but also to embed such solutions into complex systems with many diverse aspects,"
ABB Group,ABB Group (International),1B05E841-E447-4E6B-B631-4F0AD24A9951,Project Partner,Energy Storage for Low Carbon Grids,FCEE66DF-BAFC-4719-B0B1-583C862087DD,EPSRC,Research Grant,Closed,5621016,Imperial College London,2012-09-30,2018-06-29,"The UK electricity system faces challenges of unprecedented proportions. It is expected that 35 to 40% of the UK electricity demand will be met by renewable generation by 2020, an order of magnitude increase from the present levels. In the context of the targets proposed by the UK Climate Change Committee it is expected that the electricity sector would be almost entirely decarbonised by 2030 with significantly increased levels of electricity production and demand driven by the incorporation of "
Aibel,Aibel AS,EA5DFA99-6231-42A0-8FAD-30B51090641F,Collaborator,DBOnto: Bridging Databases and Ontologies,E925C692-90BD-437C-8C82-2CFDE56C2962,EPSRC,Research Grant,Closed,1263745,,2014-01-29,2019-01-28,"Sources of information and our dependence on them are increasing at a phenomenal rate. The most obvious example is the explosive growth and rapid evolution of the World Wide Web, but other projects in research, industry, healthcare and government also exhibit a critical dependence on the effective management and exploitation of large scale data. The kind of information available is also changing rapidly, and often includes unstructured and semi-structured data, streaming data, noisy and incomple"
Aker BP,Aker BP,63C17C67-1B7F-4B97-9D02-BB9AE8BE0B04,Project Partner,EPSRC Centre for Doctoral Training in Fluid Dynamics at Leeds,DB7307F1-D92F-4CEF-85D5-44C7578D5B67,EPSRC,Training Grant,Active,4698944,University of Leeds,2019-09-30,2028-03-30,"Understanding and characterising the behaviour of fluids is fundamental to numerous industrial and environmental challenges with wide-ranging societal impact. The CDT in Fluid Dynamics at Leeds will provide the next generation of highly trained graduates with the technical and professional skills and knowledge needed to tackle such problems.

Fluid processes are critical to both economic productivity and the health and environmental systems that affect our daily lives. For example, at the micros"
Aker Solutions,Aker Solutions,0627E185-4261-4477-A215-832A9D3D37F9,Project Partner,Industrial Decarbonisation Research and Innovation Centre (IDRIC),52203FC4-7F96-4368-96A7-21F755DE1849,ISCF,Research Grant,Closed,19903411,Heriot-Watt University,2021-03-31,2024-05-30,"The decarbonisation of industrial clusters is of critical importance to the UK's ambitions of cutting greenhouse gas emissions to net zero by 2050. The UK Industrial Decarbonisation Challenge (IDC) of the Industrial Strategy Challenge Fund (ISCF) aims to establish the world's first net-zero carbon industrial cluster by 2040 and at least one low-carbon cluster by 2030. 

The Industrial Decarbonisation Research and Innovation Centre (IDRIC) has been formed to support this Challenge through funding"
Aker Solutions,AKER SOLUTIONS LIMITED,396DA4B2-037C-4E13-8C75-760AABD06674,Participant,Scotland's Net Zero Roadmap (SNZR),1C855557-8EA8-4C88-B080-C90545554612,ISCF,Collaborative R&D,Closed,863103,NECCUS,2021-01-01,2023-03-30,"SNZR; Scotland's Net Zero Roadmap

To achieve Net Zero by 2045 Scotland needs to decarbonise industry, transport, heat and power. Scotland's Net Zero Roadmap project (SNZR) will provide the roadmap to enable large-scale industrial CO2 emissions reduction in a way that focuses on ensuring the continued, but evolving, contribution of high-value industry and employment in a future Net Zero economy, and supports other UK regions to do likewise.

Scotland emitted 41.6 million tonnes of greenhouse gas"
Allianz,Allianz Insurance plc,350D0492-4AD2-4B2E-BA31-E846B48DD85B,Project Partner,"Evaluation of Prevention and Protection Activities on Commercial, Public and Heritage Buildings",67FEB64B-F28B-4EB1-9547-8DA49E0F5D9E,EPSRC,Research Grant,Closed,487107,Loughborough University,2009-03-02,2012-06-30,"Risks that affect the built environment and threaten human life are becoming major societal issues in the 21st century. Managing these risks and responding to emergencies such as fires, floods, and terrorist attacks is important and needs to be planned efficiently and effectively to ensure minimal impact on society. The government's White paper Our Fire and Rescue Service published in 2003 introduced reforms that refocused the role of the Fire and Rescue Service on the prevention of fires and br"
ARC Resources,ARC ENERGY RESOURCES LIMITED,FD861C25-5A9E-483B-82CF-40375F441974,Participant,An innovative cost saving solution for 100 years of nuclear waste containment,AD732206-E27B-48FE-9ECF-A68E6E5D71A4,Innovate UK,Collaborative R&D,Closed,509979,EADON CONSULTING LIMITED,2021-04-30,2023-12-31,"**Vision:** A containment solution for domestic and international nuclear waste management and decommissioning markets, specifically targeting unshielded legacy and new build waste streams. This represents a stable market opportunity, with a waste management strategy being developed for 100 years for the UK.

Nuclear energy provides reliable low carbon power for the UK as we move towards Net-Zero targets. However, we need to secure a cost effective, safe, and responsible means of waste collectio"
Bahrain Petroleum Company,Petroleum Technology Company (PTC),F7BAB8A8-6200-43E1-9640-AA0B53D2135E,Project Partner,Interactional variation online: harnessing emerging technologies in the digital humanities to analyse online discourse in different workplace contexts,7861905E-9E9D-4F78-B577-4917AAE2B5B0,FIC,Research Grant,Closed,315219,CARDIFF UNIVERSITY,2021-07-31,2024-06-29,"We are more connected than ever before but are we communicating effectively? Amid COVID-19 and the so-called 'digital pivot', online virtual communication has been placed at the heart of our daily lives, both professionally and privately. As we move into a post-COVID context, the affordances of this digital turn have shown that we can operate professionally online but there is a need for a better understanding of what has become, and is likely to remain, a new way of communicating in the workpla"
Bahrain Petroleum Company,"ESSO PETROLEUM COMPANY,LIMITED",9A07BE6E-7A93-4929-931F-67AC1DE53052,Participant,The Solent Cluster Local Industrial Decarbonisation Plan,4D58114C-7706-48A7-8454-C371D124C613,Innovate UK,Collaborative R&D,Closed,715120,PORTSMOUTH CITY COUNCIL,2024-01-01,2025-02-28,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details."
Bahrain Petroleum Company,Sabah Shell Petroleum Company Ltd,31137791-8E98-457C-8945-B37F6F19D708,Project Partner,Modelling Marine Renewable Energy Devices; Designing for Survivability,012275A4-23DA-4E05-9D38-26C121CE98E4,EPSRC,Research Grant,Closed,1039617,Imperial College London,2012-06-29,2015-12-29,"The primary aim of the project is the assessment of the extreme wave loads on WECs using numerical models validated against experimental observations and full-scale prototype data. The project team combines institutions with significant experience in research into extreme waves (Imperial College), wave energy converters (Queen's University Belfast) and numerical modelling (Manchester Metropolitan University), forming a strong and well-balanced consortium. They will be supported by a steering com"
Bahrain Petroleum Company,SHELL INTERNATIONAL PETROLEUM COMPANY LIMITED,3A294354-4906-4BCC-8A1C-547F719E115B,Participant,eSOV: Electric SOV with Methanol Range Extender,5FE55101-F138-4086-8ABE-D4E82FB53839,Innovate UK,Collaborative R&D,Active,20000000,BIBBY MARINE SERVICES LIMITED,2023-09-30,2030-06-29,"The market for OSW (Off-Shore Wind) support vessels is growing rapidly, with between 62-149 vessels required in UK Waters by 2030. However, even best-in-class vessels currently use fossil fuel and might do so throughout their entire life costing over &pound;17.5m in damage to the environment. All the UK-operating SOV have been built abroad.
Bibby Marine (BML), alongside partners Kongsberg, Shell, DNV, Liverpool JohnMoores University (LJMU), the Port of Aberdeen (PoA) and ORE Catapult, is leading"
Baker Hughes,Baker Hughes,0DA47DBF-5135-4794-8F7B-203922E8CC28,Collaborator,Underpinning Power Electronics 2012: Hub,12DE3C34-EDCA-4F75-9B4D-30AD9914B370,EPSRC,Research Grant,Closed,4108787,University of Nottingham,2013-08-18,2020-07-30,"Power electronics and electrical machines are key components in a low-carbon future, enabling energy-efficient conversion and control solutions for a wide variety of energy and transportation applications. The strength of the UK manufacturing base and its strategic importance to the UK was highlighted in the UK government strategy document &quot;Power Electronics: A Strategy for Success&quot; (UK government Department for Business Innovation and Skills, October 2011). This calls for concerted ac"
Baker Hughes,Baker Hughes,143C0C84-5609-414B-9EF2-FE89198E547E,Collaborator,UK Robotics and Artificial Intelligence Hub for Offshore Energy Asset Integrity Management,6AE9C598-E91F-4B12-8CD7-275979310530,ISCF,Research Grant,Closed,15223234,Heriot-Watt University,2017-10-01,2022-03-30,"The international offshore energy industry currently faces the triple challenges of an oil price expected to remain less than $50 a barrel, significant expensive decommissioning commitments of old infrastructure (especially North Sea) and small margins on the traded commodity price per KWh of offshore renewable energy. Further, the offshore workforce is ageing as new generations of suitable graduates prefer not to work in hazardous places offshore. Operators therefore seek more cost effective, s"
Baker Hughes,Baker Hughes,143C0C84-5609-414B-9EF2-FE89198E547E,Collaborator,Storage of Ammonia For Energy (SAFE) - AGT Pilot,46803468-8C5A-4049-99DF-38E3CF7C8EA1,EPSRC,Research Grant,Closed,1477882,CARDIFF UNIVERSITY,2020-02-03,2025-10-16,"A hydrogen economy has been the focus of researchers and developers over the decades. However, the complexity of moving and storing hydrogen has always been a major obstacle to deploy the concept. Therefore, other materials can be employed to improve handling whilst reducing cost over long distances and long periods. Ammonia, a highly hydrogenated molecule, can be used to store and distribute hydrogen easily, as the molecule has been employed for more than 120 years for fertilizer purposes. Bein"
Baker Hughes,Baker Hughes,143C0C84-5609-414B-9EF2-FE89198E547E,Collaborator,A MULTIDISCIPLINARY PLATFORM FOR FUTURE TRIBOLOGICAL MODELLING,EC1CD84C-49FE-490D-BF63-4F5B24F8A933,EPSRC,Fellowship,Closed,1205325,Imperial College London,2016-05-31,2021-12-31,"Almost all engineering systems and many biological ones contain components that are loaded and rub against one another, such as gears and bearings in machines and hip and knee joints in humans. This rubbing results both in friction, that wastes energy, and in wear and other forms of surface damage that lead to machine (and human) downtime, and the need for expensive repair and replacement. This whole field of research is called Tribology and is pivotal both in the quest for sustainability, inclu"
Baker Hughes,Baker Hughes,143C0C84-5609-414B-9EF2-FE89198E547E,Collaborator,Mechanochemistry in Lubrication,7C34FB45-9DE0-4B93-A3BD-817785EAC448,EPSRC,Research Grant,Closed,578903,Imperial College London,2017-07-31,2021-07-30,"Improvements in lubricant technology are needed to reduce friction in machines and thus save energy and control global warming. Lubricants consist of a mineral or synthetic oil in which are dissolved up to ten or so chemical additives. The most important of these additives are friction and wear-reducing agents. These react with rubbing metal surfaces to form thin protective films that, as their names suggest, give low friction and wear. These films form only when surfaces rub together so they ar"
Baker Hughes,Baker Hughes,143C0C84-5609-414B-9EF2-FE89198E547E,Collaborator,Digital navigation of chemical space for function,09D461C2-4105-4ACA-A379-D2D1234E8A3E,EPSRC,Research Grant,Active,8699373,University of Liverpool,2021-12-01,2027-05-30,"Materials both enable the technologies we rely on today and drive advances in scientific understanding. The new scientific phenomena produced by novel materials (for example, lithium transition metal oxides) enable the creation of technologies (electric vehicles), emphasising the connection between the capability to create new materials and economic prosperity. New materials offer a route to clean growth that is essential for the future of society in the face of climate change and resource scarc"
Baker Hughes,BAKER HUGHES LIMITED,337938A6-B3D7-423D-AAE1-3B81FF07745A,Participant,Durability of Polymers under Injection Conditons for Enhanced Oil Recovery,47DB1D8F-735C-4D20-9E45-A5CD8ED5B170,Innovate UK,Collaborative R&D,Closed,402326,MATERIALS ENGINEERING RESEARCH LABORATORY LIMITED,2007-12-01,2010-11-30,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details."
Baker Hughes,Baker Hughes (Europe) Ltd,84625D22-C941-4CF3-B3C5-8F124034938D,Project Partner,UK Robotics and Artificial Intelligence Hub for Offshore Energy Asset Integrity Management,6AE9C598-E91F-4B12-8CD7-275979310530,ISCF,Research Grant,Closed,15223234,Heriot-Watt University,2017-10-01,2022-03-30,"The international offshore energy industry currently faces the triple challenges of an oil price expected to remain less than $50 a barrel, significant expensive decommissioning commitments of old infrastructure (especially North Sea) and small margins on the traded commodity price per KWh of offshore renewable energy. Further, the offshore workforce is ageing as new generations of suitable graduates prefer not to work in hazardous places offshore. Operators therefore seek more cost effective, s"
Baker Hughes,Baker Hughes (Europe) Ltd,84625D22-C941-4CF3-B3C5-8F124034938D,Project Partner,EPSRC Centre for Doctoral Training in Robotics and Autonomous Systems (RAS) in Edinburgh,DAAFA890-095E-4018-803B-6F78A6A011CC,EPSRC,Training Grant,Closed,5784697,Heriot-Watt University,2014-03-31,2023-09-29,"Robots will revolutionise the world's economy and society over the next twenty years, working for us, beside us and interacting with us. The UK urgently needs graduates with the technical skills and industry awareness to create an innovation pipeline from academic research to global markets. Key application areas include manufacturing, assistive and medical robots, offshore energy, environmental monitoring, search and rescue, defence, and support for the aging population. The robotics and autono"
Baker Hughes,Baker Hughes (Europe) Ltd,84625D22-C941-4CF3-B3C5-8F124034938D,Project Partner,EPSRC Centre for Doctoral Training in Theory and Simulation of Materials,D967DA72-2CA2-41E5-B902-D8717B09E65F,EPSRC,Training Grant,Closed,4411439,Imperial College London,2014-03-31,2023-01-07,The mission of the EPSRC CDT in Theory and Simulation of Materials (TSM) is to create a generation of scientists and engineers with the theoretical and computational abilities to model properties and processes within materials across a range of length- and time-scales. It aims to provide a multidisciplinary training to meet the need for versatile researchers capable of using the whole range of tools available to provide a holistic treatment of materials challenges relevant to industry and academ
