{\rtf1\ansi\ansicpg1252\cocoartf2865
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 HelveticaNeue;}
{\colortbl;\red255\green255\blue255;\red24\green30\blue42;}
{\*\expandedcolortbl;;\cssrgb\c12157\c16078\c21569;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs28 \cf2 \expnd0\expndtw0\kerning0
Company,Country,Sub-Industry,Rank,Revenues ($USDm)\
Gran Tierra Energy Inc,USA,Integrated Oil & Gas,83,616\
CNOOC Ltd,China,Integrated Oil & Gas,84,33391\
Woodside Petroleum Ltd,Australia,Integrated Oil & Gas,85,5240\
Sasol Ltd,South Africa,Integrated Oil & Gas,86,14674\
Imperial Oil Ltd,Canada,Integrated Oil & Gas,87,26131\
Husky Energy Inc,Canada,Integrated Oil & Gas,88,17150\
Cenovus Energy Inc,Canada,Integrated Oil & Gas,89,16035\
Kunlun Energy Co Ltd,China,Integrated Oil & Gas,90,15735\
Occidental Petroleum Corp,USA,Integrated Oil & Gas,91,17824\
Ecopetrol SA,Colombia,Integrated Oil & Gas,92,22997\
YPF SA,Argentina,Integrated Oil & Gas,93,14902\
Polskie Gornictwo Naftowe i Gazownictwo SA,Poland,Integrated Oil & Gas,94,11370\
Origin Energy Ltd,Australia,Integrated Oil & Gas,95,11026\
Ampol Ltd,Australia,Oil & Gas Refining & Marketing,96,15152\
Viva Energy Group Ltd,Australia,Oil & Gas Refining & Marketing,97,11664\
Parkland Corp,Canada,Oil & Gas Refining & Marketing,98,10931\
PBF Energy Inc,USA,Oil & Gas Refining & Marketing,99,27179\
HollyFrontier Corp,USA,Oil & Gas Refining & Marketing,100,17715}
